component_1,component_2,cluster_id
0.43145454,-0.17596245,0
0.37457556,-0.01043909,4
0.32989708,-0.076095976,0
0.41118297,-0.1446572,0
0.34333915,-0.07293102,4
0.28810558,0.010742868,1
0.27742878,-0.053155996,4
0.27258348,-0.12563077,0
0.34125647,0.0023650096,3
0.30039704,-0.026256785,4
0.36283755,-0.062446296,4
0.3139058,-0.003330216,0
0.48740715,-0.071507476,1
0.48786682,-0.25883693,0
0.41272122,-0.118037984,1
0.29137635,-0.038052425,1
0.37178695,0.08501453,1
0.3987057,-0.21011007,1
0.23109472,-0.07225272,4
0.28358313,-0.19887374,1
0.34592447,-0.14625268,1
0.26442334,-0.12930652,4
0.21838114,-0.095756955,1
0.25028276,0.05819912,4
0.40133873,0.2311255,0
0.3243448,-0.014341541,1
0.36443043,-0.18815807,1
0.33924088,-0.13042225,1
0.30854085,-0.1723989,4
0.41374797,0.25055286,2
0.46160746,-0.23845972,5
0.28730777,-0.07190638,4
0.45771605,0.102573514,1
0.22498344,-0.04875239,0
0.290449,-0.08520799,4
0.3113213,-0.1837562,1
0.451431,-0.23270881,1
0.3824452,-0.15060197,1
0.26945335,0.1825522,0
0.4915108,-0.08928239,5
0.27991697,-0.051120546,4
0.25496057,-0.09283268,4
0.39279127,0.08647301,4
0.20005341,-0.12914036,1
0.38551337,-0.22787762,1
0.34346494,-0.0028283268,0
0.41248843,-0.30460173,5
0.20639037,0.19691946,4
0.2856718,-0.039027918,4
0.36833203,0.0063653607,4
0.5080558,-0.021928309,1
0.3921606,-0.19497436,1
0.3685094,-0.04639656,1
0.33935395,-0.031909466,1
0.3028682,-0.16635086,4
0.278094,0.10119503,5
0.28636557,-0.079765216,4
0.22927147,-0.083186485,1
0.4364733,-0.115679815,5
0.20445974,0.070272535,4
0.29556897,-0.08469751,4
0.23924734,-0.05123134,1
0.29081953,-0.17416988,1
0.45907626,-0.29864788,5
0.44541386,-0.1358971,1
0.2749342,-0.11631767,5
0.32477084,-0.0017358708,1
0.1278467,0.020810958,4
0.44300398,-0.19477758,1
0.17928381,-0.010261428,4
0.23359987,-0.024200931,1
0.29695797,-0.06404192,4
0.4294697,0.11365257,0
0.39755473,-0.08085507,4
0.18149604,0.06332082,4
0.31362933,-0.004053725,0
0.2915067,-0.012123015,0
0.07197846,-0.005516745,4
0.36357203,0.033363726,0
0.25843063,0.13290873,1
0.31561527,-0.17479584,5
0.31326255,-0.108458824,0
0.25802237,-0.11649166,4
0.3130304,-0.0009721184,1
0.33106893,-0.22049597,5
0.38713917,-0.20304786,1
0.34523943,0.19650072,0
0.30505702,-0.064043015,0
0.1588066,-0.109124504,4
0.27465305,-0.14309633,4
0.22098833,-0.043048244,4
0.2401862,-0.115574956,0
0.4020079,0.1255132,4
0.31119376,-0.06325444,0
0.44599533,-0.2370943,1
0.1940428,-0.015938396,4
0.3745123,0.17700809,2
0.38587886,-0.20783406,1
0.13937813,-0.03163212,4
0.4639822,-0.15705305,0
0.3776194,0.03589893,4
0.46677318,0.119643934,1
0.34083483,-0.022186438,5
0.44542414,-0.029878248,1
0.43035564,-0.17942367,1
0.27518323,-0.03272308,4
0.5011633,-0.0582288,5
0.29562455,-0.055428643,4
0.27439922,-0.13255446,5
0.27576187,0.0652769,1
0.19331944,0.015312403,4
